,Key,Entry_data
0,"dfs_day_(1, 0.33)_BB_ACC",46
1,"dfs_day_(1, 0.33)_BBRSI_ACC",31
2,"dfs_day_(1, 0.33)_BBRSI-UC_ACC",44
3,"dfs_day_(1, 0.33)_MA_ACC",23
4,"dfs_day_(1, 0.33)_MARSI-C_ACC",1
5,"dfs_day_(1, 0.33)_MARSI-UC1_ACC",2
6,"dfs_day_(1, 0.33)_MARSI-UC2_ACC",8
7,"dfs_day_(1, 0.33)_RSI_ACC",91
8,"dfs_day_(15, 5)_BB_ACC",21
9,"dfs_day_(15, 5)_BBRSI_ACC",16
10,"dfs_day_(15, 5)_BBRSI-UC_ACC",20
11,"dfs_day_(15, 5)_MA_ACC",16
12,"dfs_day_(15, 5)_MARSI-C_ACC",1
13,"dfs_day_(15, 5)_MARSI-UC1_ACC",2
14,"dfs_day_(15, 5)_MARSI-UC2_ACC",6
15,"dfs_day_(15, 5)_RSI_ACC",27
16,"dfs_day_(3, 1)_BB_ACC",42
17,"dfs_day_(3, 1)_BBRSI_ACC",29
18,"dfs_day_(3, 1)_BBRSI-UC_ACC",40
19,"dfs_day_(3, 1)_MA_ACC",23
20,"dfs_day_(3, 1)_MARSI-C_ACC",1
21,"dfs_day_(3, 1)_MARSI-UC1_ACC",2
22,"dfs_day_(3, 1)_MARSI-UC2_ACC",8
23,"dfs_day_(3, 1)_RSI_ACC",71
24,"dfs_day_(30, 10)_BB_ACC",12
25,"dfs_day_(30, 10)_BBRSI_ACC",12
26,"dfs_day_(30, 10)_BBRSI-UC_ACC",12
27,"dfs_day_(30, 10)_MA_ACC",8
28,"dfs_day_(30, 10)_MARSI-C_ACC",1
29,"dfs_day_(30, 10)_MARSI-UC1_ACC",2
30,"dfs_day_(30, 10)_MARSI-UC2_ACC",6
31,"dfs_day_(30, 10)_RSI_ACC",15
32,"dfs_hour_(1, 0.33)_BB_ACC",361
33,"dfs_hour_(1, 0.33)_BBRSI_ACC",249
34,"dfs_hour_(1, 0.33)_BBRSI-UC_ACC",348
35,"dfs_hour_(1, 0.33)_MA_ACC",177
36,"dfs_hour_(1, 0.33)_MARSI-C_ACC",14
37,"dfs_hour_(1, 0.33)_MARSI-UC1_ACC",21
38,"dfs_hour_(1, 0.33)_MARSI-UC2_ACC",49
39,"dfs_hour_(1, 0.33)_RSI_ACC",627
40,"dfs_hour_(15, 5)_BB_ACC",48
41,"dfs_hour_(15, 5)_BBRSI_ACC",44
42,"dfs_hour_(15, 5)_BBRSI-UC_ACC",49
43,"dfs_hour_(15, 5)_MA_ACC",39
44,"dfs_hour_(15, 5)_MARSI-C_ACC",10
45,"dfs_hour_(15, 5)_MARSI-UC1_ACC",16
46,"dfs_hour_(15, 5)_MARSI-UC2_ACC",28
47,"dfs_hour_(15, 5)_RSI_ACC",57
48,"dfs_hour_(3, 1)_BB_ACC",272
49,"dfs_hour_(3, 1)_BBRSI_ACC",204
50,"dfs_hour_(3, 1)_BBRSI-UC_ACC",266
51,"dfs_hour_(3, 1)_MA_ACC",154
52,"dfs_hour_(3, 1)_MARSI-C_ACC",13
53,"dfs_hour_(3, 1)_MARSI-UC1_ACC",18
54,"dfs_hour_(3, 1)_MARSI-UC2_ACC",42
55,"dfs_hour_(3, 1)_RSI_ACC",384
56,"dfs_hour_(30, 10)_BB_ACC",14
57,"dfs_hour_(30, 10)_BBRSI_ACC",17
58,"dfs_hour_(30, 10)_BBRSI-UC_ACC",14
59,"dfs_hour_(30, 10)_MA_ACC",16
