,Key,Profitability_data
0,"dfs_day_(1, 0.33)_BB_ACC",32.61
1,"dfs_day_(1, 0.33)_BBRSI_ACC",32.26
2,"dfs_day_(1, 0.33)_BBRSI-UC_ACC",34.09
3,"dfs_day_(1, 0.33)_MA_ACC",47.83
4,"dfs_day_(1, 0.33)_MARSI-C_ACC",0.0
5,"dfs_day_(1, 0.33)_MARSI-UC1_ACC",0.0
6,"dfs_day_(1, 0.33)_MARSI-UC2_ACC",25.0
7,"dfs_day_(1, 0.33)_RSI_ACC",40.66
8,"dfs_day_(15, 5)_BB_ACC",42.86
9,"dfs_day_(15, 5)_BBRSI_ACC",37.5
10,"dfs_day_(15, 5)_BBRSI-UC_ACC",40.0
11,"dfs_day_(15, 5)_MA_ACC",25.0
12,"dfs_day_(15, 5)_MARSI-C_ACC",0.0
13,"dfs_day_(15, 5)_MARSI-UC1_ACC",50.0
14,"dfs_day_(15, 5)_MARSI-UC2_ACC",33.33
15,"dfs_day_(15, 5)_RSI_ACC",33.33
16,"dfs_day_(3, 1)_BB_ACC",35.71
17,"dfs_day_(3, 1)_BBRSI_ACC",34.48
18,"dfs_day_(3, 1)_BBRSI-UC_ACC",35.0
19,"dfs_day_(3, 1)_MA_ACC",39.13
20,"dfs_day_(3, 1)_MARSI-C_ACC",0.0
21,"dfs_day_(3, 1)_MARSI-UC1_ACC",0.0
22,"dfs_day_(3, 1)_MARSI-UC2_ACC",12.5
23,"dfs_day_(3, 1)_RSI_ACC",35.21
24,"dfs_day_(30, 10)_BB_ACC",50.0
25,"dfs_day_(30, 10)_BBRSI_ACC",50.0
26,"dfs_day_(30, 10)_BBRSI-UC_ACC",50.0
27,"dfs_day_(30, 10)_MA_ACC",25.0
28,"dfs_day_(30, 10)_MARSI-C_ACC",0.0
29,"dfs_day_(30, 10)_MARSI-UC1_ACC",0.0
30,"dfs_day_(30, 10)_MARSI-UC2_ACC",16.67
31,"dfs_day_(30, 10)_RSI_ACC",40.0
32,"dfs_hour_(1, 0.33)_BB_ACC",32.41
33,"dfs_hour_(1, 0.33)_BBRSI_ACC",34.14
34,"dfs_hour_(1, 0.33)_BBRSI-UC_ACC",32.76
35,"dfs_hour_(1, 0.33)_MA_ACC",35.03
36,"dfs_hour_(1, 0.33)_MARSI-C_ACC",50.0
37,"dfs_hour_(1, 0.33)_MARSI-UC1_ACC",33.33
38,"dfs_hour_(1, 0.33)_MARSI-UC2_ACC",32.65
39,"dfs_hour_(1, 0.33)_RSI_ACC",35.09
40,"dfs_hour_(15, 5)_BB_ACC",29.17
41,"dfs_hour_(15, 5)_BBRSI_ACC",34.09
42,"dfs_hour_(15, 5)_BBRSI-UC_ACC",28.57
43,"dfs_hour_(15, 5)_MA_ACC",28.21
44,"dfs_hour_(15, 5)_MARSI-C_ACC",20.0
45,"dfs_hour_(15, 5)_MARSI-UC1_ACC",25.0
46,"dfs_hour_(15, 5)_MARSI-UC2_ACC",21.43
47,"dfs_hour_(15, 5)_RSI_ACC",29.82
48,"dfs_hour_(3, 1)_BB_ACC",33.09
49,"dfs_hour_(3, 1)_BBRSI_ACC",30.88
50,"dfs_hour_(3, 1)_BBRSI-UC_ACC",33.08
51,"dfs_hour_(3, 1)_MA_ACC",30.52
52,"dfs_hour_(3, 1)_MARSI-C_ACC",23.08
53,"dfs_hour_(3, 1)_MARSI-UC1_ACC",38.89
54,"dfs_hour_(3, 1)_MARSI-UC2_ACC",40.48
55,"dfs_hour_(3, 1)_RSI_ACC",30.73
56,"dfs_hour_(30, 10)_BB_ACC",35.71
57,"dfs_hour_(30, 10)_BBRSI_ACC",35.29
58,"dfs_hour_(30, 10)_BBRSI-UC_ACC",35.71
59,"dfs_hour_(30, 10)_MA_ACC",37.5
60,"dfs_hour_(30, 10)_MARSI-C_ACC",33.33
61,"dfs_hour_(30, 10)_MARSI-UC1_ACC",25.0
62,"dfs_hour_(30, 10)_MARSI-UC2_ACC",30.77
63,"dfs_hour_(30, 10)_RSI_ACC",35.0
64,"dfs_38minute_(1, 0.33)_BB_ACC",34.75
65,"dfs_38minute_(1, 0.33)_BBRSI_ACC",36.13
66,"dfs_38minute_(1, 0.33)_BBRSI-UC_ACC",34.34
67,"dfs_38minute_(1, 0.33)_MA_ACC",35.85
68,"dfs_38minute_(1, 0.33)_MARSI-C_ACC",30.77
69,"dfs_38minute_(1, 0.33)_MARSI-UC1_ACC",19.23
70,"dfs_38minute_(1, 0.33)_MARSI-UC2_ACC",32.81
71,"dfs_38minute_(1, 0.33)_RSI_ACC",32.81
72,"dfs_38minute_(15, 5)_BB_ACC",28.57
73,"dfs_38minute_(15, 5)_BBRSI_ACC",30.0
74,"dfs_38minute_(15, 5)_BBRSI-UC_ACC",28.57
75,"dfs_38minute_(15, 5)_MA_ACC",34.29
76,"dfs_38minute_(15, 5)_MARSI-C_ACC",35.29
77,"dfs_38minute_(15, 5)_MARSI-UC1_ACC",26.32
78,"dfs_38minute_(15, 5)_MARSI-UC2_ACC",31.03
79,"dfs_38minute_(15, 5)_RSI_ACC",31.48
80,"dfs_38minute_(3, 1)_BB_ACC",33.43
81,"dfs_38minute_(3, 1)_BBRSI_ACC",34.85
82,"dfs_38minute_(3, 1)_BBRSI-UC_ACC",32.66
83,"dfs_38minute_(3, 1)_MA_ACC",34.39
84,"dfs_38minute_(3, 1)_MARSI-C_ACC",37.5
85,"dfs_38minute_(3, 1)_MARSI-UC1_ACC",45.83
86,"dfs_38minute_(3, 1)_MARSI-UC2_ACC",46.3
87,"dfs_38minute_(3, 1)_RSI_ACC",29.91
88,"dfs_38minute_(30, 10)_BB_ACC",33.33
89,"dfs_38minute_(30, 10)_BBRSI_ACC",33.33
90,"dfs_38minute_(30, 10)_BBRSI-UC_ACC",33.33
91,"dfs_38minute_(30, 10)_MA_ACC",35.29
92,"dfs_38minute_(30, 10)_MARSI-C_ACC",50.0
93,"dfs_38minute_(30, 10)_MARSI-UC1_ACC",45.45
94,"dfs_38minute_(30, 10)_MARSI-UC2_ACC",40.0
95,"dfs_38minute_(30, 10)_RSI_ACC",30.43
96,"dfs_day_(1, 0.33)_BB_ADANIENT",58.14
97,"dfs_day_(1, 0.33)_BBRSI_ADANIENT",50.0
98,"dfs_day_(1, 0.33)_BBRSI-UC_ADANIENT",57.14
99,"dfs_day_(1, 0.33)_MA_ADANIENT",45.0
100,"dfs_day_(1, 0.33)_MARSI-C_ADANIENT",50.0
101,"dfs_day_(1, 0.33)_MARSI-UC1_ADANIENT",0.0
102,"dfs_day_(1, 0.33)_MARSI-UC2_ADANIENT",33.33
103,"dfs_day_(1, 0.33)_RSI_ADANIENT",47.92
104,"dfs_day_(15, 5)_BB_ADANIENT",27.27
105,"dfs_day_(15, 5)_BBRSI_ADANIENT",10.0
106,"dfs_day_(15, 5)_BBRSI-UC_ADANIENT",25.0
107,"dfs_day_(15, 5)_MA_ADANIENT",44.44
108,"dfs_day_(15, 5)_MARSI-C_ADANIENT",50.0
109,"dfs_day_(15, 5)_MARSI-UC1_ADANIENT",0.0
110,"dfs_day_(15, 5)_MARSI-UC2_ADANIENT",0.0
111,"dfs_day_(15, 5)_RSI_ADANIENT",30.0
112,"dfs_day_(3, 1)_BB_ADANIENT",41.46
113,"dfs_day_(3, 1)_BBRSI_ADANIENT",17.39
114,"dfs_day_(3, 1)_BBRSI-UC_ADANIENT",40.0
115,"dfs_day_(3, 1)_MA_ADANIENT",40.0
116,"dfs_day_(3, 1)_MARSI-C_ADANIENT",50.0
117,"dfs_day_(3, 1)_MARSI-UC1_ADANIENT",0.0
118,"dfs_day_(3, 1)_MARSI-UC2_ADANIENT",33.33
119,"dfs_day_(3, 1)_RSI_ADANIENT",36.62
120,"dfs_day_(30, 10)_BB_ADANIENT",40.0
121,"dfs_day_(30, 10)_BBRSI_ADANIENT",28.57
122,"dfs_day_(30, 10)_BBRSI-UC_ADANIENT",36.84
123,"dfs_day_(30, 10)_MA_ADANIENT",64.29
124,"dfs_day_(30, 10)_MARSI-C_ADANIENT",100.0
125,"dfs_day_(30, 10)_MARSI-UC1_ADANIENT",100.0
126,"dfs_day_(30, 10)_MARSI-UC2_ADANIENT",33.33
127,"dfs_day_(30, 10)_RSI_ADANIENT",39.13
128,"dfs_hour_(1, 0.33)_BB_ADANIENT",42.09
129,"dfs_hour_(1, 0.33)_BBRSI_ADANIENT",43.25
130,"dfs_hour_(1, 0.33)_BBRSI-UC_ADANIENT",42.19
131,"dfs_hour_(1, 0.33)_MA_ADANIENT",37.67
132,"dfs_hour_(1, 0.33)_MARSI-C_ADANIENT",80.0
133,"dfs_hour_(1, 0.33)_MARSI-UC1_ADANIENT",66.67
134,"dfs_hour_(1, 0.33)_MARSI-UC2_ADANIENT",42.86
135,"dfs_hour_(1, 0.33)_RSI_ADANIENT",39.84
136,"dfs_hour_(15, 5)_BB_ADANIENT",37.5
137,"dfs_hour_(15, 5)_BBRSI_ADANIENT",36.63
138,"dfs_hour_(15, 5)_BBRSI-UC_ADANIENT",37.5
139,"dfs_hour_(15, 5)_MA_ADANIENT",41.56
140,"dfs_hour_(15, 5)_MARSI-C_ADANIENT",50.0
141,"dfs_hour_(15, 5)_MARSI-UC1_ADANIENT",62.5
142,"dfs_hour_(15, 5)_MARSI-UC2_ADANIENT",52.17
143,"dfs_hour_(15, 5)_RSI_ADANIENT",33.58
144,"dfs_hour_(3, 1)_BB_ADANIENT",36.01
145,"dfs_hour_(3, 1)_BBRSI_ADANIENT",34.86
146,"dfs_hour_(3, 1)_BBRSI-UC_ADANIENT",35.86
147,"dfs_hour_(3, 1)_MA_ADANIENT",39.42
148,"dfs_hour_(3, 1)_MARSI-C_ADANIENT",75.0
149,"dfs_hour_(3, 1)_MARSI-UC1_ADANIENT",66.67
150,"dfs_hour_(3, 1)_MARSI-UC2_ADANIENT",32.35
151,"dfs_hour_(3, 1)_RSI_ADANIENT",31.0
152,"dfs_hour_(30, 10)_BB_ADANIENT",42.55
153,"dfs_hour_(30, 10)_BBRSI_ADANIENT",38.78
154,"dfs_hour_(30, 10)_BBRSI-UC_ADANIENT",42.55
155,"dfs_hour_(30, 10)_MA_ADANIENT",44.12
156,"dfs_hour_(30, 10)_MARSI-C_ADANIENT",50.0
157,"dfs_hour_(30, 10)_MARSI-UC1_ADANIENT",50.0
158,"dfs_hour_(30, 10)_MARSI-UC2_ADANIENT",52.94
159,"dfs_hour_(30, 10)_RSI_ADANIENT",37.25
160,"dfs_38minute_(1, 0.33)_BB_ADANIENT",42.47
161,"dfs_38minute_(1, 0.33)_BBRSI_ADANIENT",44.48
162,"dfs_38minute_(1, 0.33)_BBRSI-UC_ADANIENT",42.63
163,"dfs_38minute_(1, 0.33)_MA_ADANIENT",39.69
164,"dfs_38minute_(1, 0.33)_MARSI-C_ADANIENT",42.11
165,"dfs_38minute_(1, 0.33)_MARSI-UC1_ADANIENT",55.0
166,"dfs_38minute_(1, 0.33)_MARSI-UC2_ADANIENT",43.48
167,"dfs_38minute_(1, 0.33)_RSI_ADANIENT",42.54
168,"dfs_38minute_(15, 5)_BB_ADANIENT",38.64
169,"dfs_38minute_(15, 5)_BBRSI_ADANIENT",37.72
170,"dfs_38minute_(15, 5)_BBRSI-UC_ADANIENT",39.06
171,"dfs_38minute_(15, 5)_MA_ADANIENT",41.86
172,"dfs_38minute_(15, 5)_MARSI-C_ADANIENT",43.75
173,"dfs_38minute_(15, 5)_MARSI-UC1_ADANIENT",25.0
174,"dfs_38minute_(15, 5)_MARSI-UC2_ADANIENT",29.63
175,"dfs_38minute_(15, 5)_RSI_ADANIENT",33.11
176,"dfs_38minute_(3, 1)_BB_ADANIENT",38.42
177,"dfs_38minute_(3, 1)_BBRSI_ADANIENT",35.79
178,"dfs_38minute_(3, 1)_BBRSI-UC_ADANIENT",37.81
179,"dfs_38minute_(3, 1)_MA_ADANIENT",36.67
180,"dfs_38minute_(3, 1)_MARSI-C_ADANIENT",31.58
181,"dfs_38minute_(3, 1)_MARSI-UC1_ADANIENT",35.29
182,"dfs_38minute_(3, 1)_MARSI-UC2_ADANIENT",33.33
183,"dfs_38minute_(3, 1)_RSI_ADANIENT",36.6
184,"dfs_38minute_(30, 10)_BB_ADANIENT",41.18
185,"dfs_38minute_(30, 10)_BBRSI_ADANIENT",39.58
186,"dfs_38minute_(30, 10)_BBRSI-UC_ADANIENT",41.18
187,"dfs_38minute_(30, 10)_MA_ADANIENT",42.22
188,"dfs_38minute_(30, 10)_MARSI-C_ADANIENT",54.55
189,"dfs_38minute_(30, 10)_MARSI-UC1_ADANIENT",36.36
190,"dfs_38minute_(30, 10)_MARSI-UC2_ADANIENT",37.5
191,"dfs_38minute_(30, 10)_RSI_ADANIENT",36.07
192,"dfs_day_(1, 0.33)_BB_ADANIGREEN",28.57
193,"dfs_day_(1, 0.33)_BBRSI_ADANIGREEN",14.29
194,"dfs_day_(1, 0.33)_BBRSI-UC_ADANIGREEN",28.57
195,"dfs_day_(1, 0.33)_MA_ADANIGREEN",37.5
196,"dfs_day_(1, 0.33)_MARSI-C_ADANIGREEN",0.0
197,"dfs_day_(1, 0.33)_MARSI-UC1_ADANIGREEN",100.0
198,"dfs_day_(1, 0.33)_MARSI-UC2_ADANIGREEN",100.0
199,"dfs_day_(1, 0.33)_RSI_ADANIGREEN",33.33
200,"dfs_day_(15, 5)_BB_ADANIGREEN",41.67
201,"dfs_day_(15, 5)_BBRSI_ADANIGREEN",42.86
202,"dfs_day_(15, 5)_BBRSI-UC_ADANIGREEN",41.67
203,"dfs_day_(15, 5)_MA_ADANIGREEN",85.71
